ZIP,CBSA Code,CBSA Title,Metro
7830,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7831,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7832,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7834,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7836,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7837,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7839,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7840,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7842,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7843,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7845,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7847,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7848,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7849,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7850,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7851,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7852,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7853,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7855,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7856,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7857,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7860,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7865,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7866,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7869,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7870,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7871,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7874,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7875,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7876,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7877,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7878,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7879,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7882,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7885,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7890,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7901,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7902,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7920,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7921,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7922,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7924,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7926,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7927,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7928,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7930,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7931,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7932,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7933,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7934,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7935,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7936,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7938,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7939,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7940,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7945,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7946,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7950,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7960,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7961,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7962,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7963,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7970,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7974,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7976,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7977,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7978,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7979,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7980,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
7981,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8005,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8006,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8008,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8050,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8087,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8092,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8501,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8502,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8504,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8510,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8512,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8514,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8520,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8525,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8527,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8528,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8530,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8533,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8535,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8536,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8540,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8551,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8553,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8555,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8556,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8557,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8558,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8559,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8560,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8562,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8620,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8691,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8701,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8720,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8721,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8722,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8723,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8724,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8730,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8731,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8732,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8733,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8734,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8735,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8736,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8738,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8739,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8740,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8741,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8742,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8750,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8751,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8752,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8753,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8754,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8755,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8757,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
8758,35620,"New York-Newark-Jersey City, NY-NJ-PA",New York City
